질문,답변
"아, 그렇군요. ",
,
,
서류는 뭘 가져가면 되죠?,아버님 혼자 방문하시나요?
"네, 맞습니다. ","출생신고서, 신분증이 필요합니다. "
감사합니다. 수고하세요.,
아기 출생신고 때문에 질문이 있습니다. ,"네, 무엇을 도와드릴까요?"
"제가 혼인관계 없이 아이를 낳았는데, 출생신고 가능한가요?",혹시 부모님 두 분 다 한국 국적 인가요?
아뇨. 엄마는 외국인이에요. ,"한국인 부, 외국인 모의 경우 출생신고가 불가능합니다. "
왜 그런거에요?,혼인신고를 하지 않으면 아이 국적이 외국인 모를 따르게 됩니다. 
그럼 출생신고 못하는거에요?,"네, 국적취득신고를 하셔야합니다. "
그럼 한국국적을 취득하는건가요?,"네, 그렇습니다. "
그건 어디에가서 하면되는거죠?,구청이나 동주민센터에서 하시면 됩니다. 
필요한 서류가 있나요?,신분증과 출생증명서 가져가시면 됩니다. 
증명서는 어디서 받죠?,병원에서 받으시면 됩니다. 
알겠습니다. 수고하세요. ,감사합니다. 
출생신고 관련 질문이 있어서요. ,"네, 무엇을 도와드릴까요?"
늦게하면 벌금이 있다던데 맞아요?,기간을 지났을 시에 부과딥니다. 
기간이 언제까지에요?,출생일로부터 1개월 내입니다. 
내일이면 한달인데 주말이라서요. ,"신고일이 주말, 공휴일이 포함된 경우 익일까지 신고하시면 됩니다. "
혹시 조금 늦으면 얼마 내는거에요?,7일 미만일 경우 만원입니다. 
"네, 혹시 카드로도 납부가능한가요?","네, 신고와 함께 즉시납부 시에는 불가능합니다. "
즉시납부는 뭐에요?,신고하실 때 바로 과태료 납부하는 겁니다. 
"아, 즉시납부하면 되겠네요. ","네, 과태료 20% 경감됩니다. "
"아, 좋네요. ",
,
사정이 있어서 아기 출생신고를 못했는데요. ,"네, 말씀하세요. "
출생신고를 지금 해도 될까요?,얼마나 되었나요?
태어난지 1년이 넘었어요. ,"네, 가능합니다. "
"아, 그럼 동사무소로 가서 해도 되나요?","네, 그렇습니다. "
늦게하면 무슨 불이익이 있나요?,과태료가 부과됩니다. 
얼마죠?,6개월 이상시 5만원입니다. 
출생신고를 하는 날이 출생일로 기록되는건 아니죠?,"네, 아닙니다. "
그럼 혹시 과태료를 좀 할인 받을 수는 없을까요?,기초생활수급자나 미성년자의 경우 50% 경감됩니다. 
"아, 혹시 해당 안되는 경우에는요?",즉시납부 시 20% 경감됩니다. 
알려주셔서 고맙습니다. ,"네, 감사합니다. "
"제 친구가 외국인인데, 다산콜센터에 문의 가능한가요?","네, 친구분 국적이 어디인가요?"
베트남이요. ,"네, 가능합니다. "
베트남어로 대화가능한거에요?,"네, 그렇습니다. "
대중교통관련 질문하고 싶다고 하는데요?,"네,하실 수 있습니다. "
"네, 알겠습니다. ",
,
,
,
,
,
제가 청소년증 발급을 받았는데요,"네, 무엇을 도와드릴까요?"
이거 버스카드로도 사용가능하죠?,교통카드 기능을 선택한 경우에 이용 가능합니다. 
지하철역에서 충전 할 수 있어요?,"네, 그렇습니다. "
카드로도 쓸 수 있다던데 맞아요?,정해진 용도안에서 사용가능합니다. 
카드로 쓰는거는 어디서 충전해요?,"편의점, 제과점 등 해당 교통카드사의 가맹점 에서 결제 및 충전을 할 수 있습니다.  "
그럼 몇몇 곳에서만 사용가능한거네요?,"네, 그렇습니다. "
혹시 피씨방에서는 결제 안돼요?,"네, 안됩니다. "
편의점도 다 되는 건 아니겠네요?,먼저 문의 후 사용하시면 됩니다. 
뭐라고 물어봐요?,청소년증 사용 가능하냐고 물어보시면 됩니다. 
버스는 탈 수 있는거죠?,"네, 탈 수 있습니다. "
캐시비 청소년증 등록을 CU에서 했는데 충전은 다른 편의점에서도 가능한가요 ?,교통카드기능 신청하셨나요?
"네, 신청했어요. ",교통카드사의 가맹점에서 결제 및 충전하면 됩니다. 
혹시 이거 잃어버리면 재발급 받을 수 있어요?,"네, 가능합니다. "
어디서 받아요?,동주민센터에서 발급 가능합니다. 
주소지 근처여야 해요?,아니요.. 전국 가까운 곳에서 가능합니다. 
혹시 이사가도 재발급해야해요?,뒷면에 주소지 변경란에 새 주소를 적으시면 됩니다.
자격증 딸 때 신분증으로도 사용해도 되나요?,"네, 가능합니다. "
이거 몇 살 때까지 쓸 수 있어요?,만 18세까지 사용할 수 있습니다. 
혹시 동생거도 제가 대신 발급해도 되나요?,친권자 등 법정대리인만 가능합니다. 
"아, 그럼 부모님이 해야겠네요?",그렇습니다. 
"청소년증 발급받고 싶은데, 시청에서 하면 되나요?",주소지 상관없이 동주민센터에서 하시면 됩니다. 
서류는 뭐가 필요해요?,반명함판 사진 1매와 신분증 필요합니다. 
혹시 학생증도 될까요?,"네, 됩니다. "
발급하는데 돈도 들어요?,무료입니다. 
신청하면 얼마나 걸려요?,2주정도 소요됩니다. 
동주민센터는 몇 시까지 해요?,오후 6시까지입니다. 
학교가 6시 넘어서 끝나는데..,
,
,
인터넷 발급은요?,불가능합니다. 
청소년증 사진 여권사진으로 해도 되는거에요?,아니요. 반명함판 사진입니다. 
그거랑 다른거에요?,"네, 규격이 다릅니다. "
사진관에 가서 반명함판이라고 얘기하면 알까요?,"네, 말씀하시면 됩니다. "
한 장만 가져가면 되나요?,"네, 그렇습니다. "
이거 나올려면 얼마나 걸려요?,2주정도 소요됩니다. 
그럼 그 전에 혹시 임시로 뭐 주나요?,발급신청확인서를 요청 가능합니다. 
그거 신청하면 임시로 쓰는거에요?,"네, 청소년증 발급 전까지 사용 가능합니다. "
그럼 혜택이나 이런건 다 받을 수 있어요?,"네, 그렇습니다. "
그럼 그거 받는데 필요한게 따로 있어요?,사진을 1장 더 가져가셔야 합니다. 
똑같은 규격으로요?,"네, 그렇습니다. "
안녕하세요. 청소년증 발급에 대한 질문이 있습니다. ,네 무엇을 도와드릴까요?
꼭 직접 방문해서 만들어야 하나요?,아니요. 대리인이 신청할 수 있습니다. 
대리인이라는건 부모님인가요?,친권자 등 법정대리인이 방문하면 됩니다. 
"네, 그럼 구비서류 좀 알려주세요. ",발급신청서가 우선 필요하구요. 
,
,
,
,
,
,
청소년증 발급하면 교통카드로도 사용할 수 있죠?,"네, 신청하시면 가능합니다. "
그럼 버스랑 지하철 할인 되는거에요?,"네, 20프로 할인가능합니다. "
고속버스나 시외버스도 가능해요?,고속버스는 불가능합니다. 
또 어떤 거 할인이 되는거에요?,청소년 우대사업에서 할인받을 수 있습니다.
그게 뭐에요?,"예를들면 궁이나, 박물관, 공연장 등에서 사용가능합니다. "
갈 때 청소년증 그냥 제시하면 되는거에요?,"네, 그렇습니다. "
다른 여가시설에서도 할인 가능할까요?,가시기 전에 확인을 해보시는게 좋습니다. 
"네, 알겠습니다. ",더 궁금하신 사항 있습니까?
더 자세하게 볼 수 있는 곳이 있을까요?,서울시 정책자료실에서 볼 수 있습니다. 
학생증 대신 신분증으로도 쓸 수 있을까요?,"검정고시, 자격증, 외국어시험에서 신분증으로 활용가능합니다. "
문화누리카드로 대중교통 이용가능한가요?,일반 버스와 지하철 이용은 불가합니다
그럼 가능한 교통수단이 뭐에요?,"항공사, 고속버스, 열차이용 가능합니다. "
문화누리카드 문자서비스도 가능해요?,"네, 발급시 신청하시면 가능합니다. "
잔액확인은 어디서해요?,누리집 홈페이지에서 하시면 됩니다. 
홈페이지 어디서요?,잔액확인에서 확인할 수 있습니다. 
누리카드 사용가능한 곳은 어디어디에요?,홈페이지 가맹점에서 확인 가능합니다. 
친구랑 대전 오월드로 놀려가려는데 거기서도 할인 받을 수 있어요?,"네, 가능합니다. "
서점에서도 이용가능한가요?,이용가능한 서점이 있습니다. 
어디인가요?,교보문고입니다. 
"네, 확인해볼게요. 감사해요. ","네, 감사합니다. "
문화누리카드 사용 질문이 있습니다. ,"네, 무엇을 도와드릴까요?"
이 카드는 앞으로 계속 사용해도 돼요?,매년 재신청하여 자격검증 후 다시 충전하여 사용해야 됩니다. 
혹시 제가 이번년도에 다 쓰지 못하면 다음년도로 이월되나요?,당해연도 안(12월 말)에서만 사용할 수 있습니다. 
그럼 잔액은 어떻게 되는거에요?,사용하지 않은 금액은 자동 소멸됩니다. 
올해 문화누리카드 발급 신청기간이 언제에요?,방문하셔서 신청하시나요?
네.,2월 3일부터 11월 30일까지 입니다. 
대상자 여부는 어떻게 확인해요?,가까운 동주민센터 방문 시 확인하면 됩니다. 
인터넷으로는 못해요?,누리집 홈페이지에서 확인 가능합니다. 
,
,
안녕하세요. 장애인 복지카드로 지하철 무료로 탑승 가능하다고 해서요. ,"네, 신용/체크카드형 복지카드에 무임승차 기능을 포함하면 가능합니다. "
일반 복지카드는요?,단순무임용 교통카드를 발급하셔야 합니다. 
어디에서 발급해야해요?,서울시 모든 주민센터에서 발급 가능합니다. 
주소가 서울이어야만 가능한가요?,"네, 서울시에 거주하는 장애인 대상입니다. "
서류는 뭐가 필요한가요?,신분증을 지참하셔야 합니다. 
신분증만 가져가면 되는거에요?,"네, 그렇습니다. "
발급은 얼마나 걸려요?,한 달 정도 소요됩니다. 
"네, 발급 비용은요?",신규발급시 무료입니다. 
잃어버릴시에 재발급도 가능해요?,"네, 그렇습니다. "
재발급하면 돈이 드나요?,"네, 그렇습니다. "
경로우대 교통카드 발급관련 질문이 있습니다. ,"네, 무엇을 도와드릴까요?"
어디서 발급 받죠?,단순무임카드 발급 원하십니까?
그게뭐죠?,"신용카드나, 체크카드 기능이 없는 카드입니다. "
"네, 그걸로 하고싶어요. ",주민등록상 주소지가 서울인가요?
"네, 맞아요. ",동주민센터에서 하시면 됩니다. 
아무 동주민센터나요?,"네, 그렇습니다. "
본인이 직접 가야하나요?,신규 발급인가요?
"네, 맞아요. ","네, 본인만 가능합니다. "
만 65세 부터 가능한가요?,만 65세 생일도래 2개월 전부터 신청가능합니다. 
알겠습니다. 수고하세요. ,감사합니다. 
아버지가 이번에 만 65세가 되시는데 경로우대 교통카드 받을 수 있나요?,"네, 발급 가능합니다. "
주소지가 서울이 아니어도 괜찮은가요?,관할 기관에 문의하셔야 합니다. 
혹시 선불형도 만들 수 있나요?,"신용, 체크카드 형 카드 말하시나요?"
네. ,"네, 발급 가능합니다. "
아무 은행에서 할 수 있어요?,전국 신한은행 영업소에서 발급 가능합니다. 
제가 아버지 대신 해드려도 되나요?,신규 발급인가요?
네. ,"아니요, 본인이 가셔야 합니다. "
만 65세 생일이 지나야 신청가능한가요?,"네, 맞습니다. "
서류는 뭐가 있나요?,신분증과 통장사본 가져가시면 됩니다. 
아버지 명의 통장사본이어야 하나요?,"네, 그렇습니다. "
"안녕하세요. 이번에 이사를 가게 되었는데, 시니어패스 계속 사용해도 되나요?",주소지 변경 시 신규 발급 하셔야 합니다. 
재발급이 아니라요?,"네, 신규발급 입니다. "
그럼 본인이 가셔야해요?,"네, 그렇습니다. "
다시 발급 받는 데는 얼마나 걸리죠?,신청 후 3일정도 소요됩니다. 
신분증 외에 챙길 게 있나요?,신분증만 지참하시면 됩니다. 
혹시 부산에서도 사용 가능한가요?,
,
,
,
,
시니어패스 지하철말고 버스에서도 사용가능한가요?,아니요. 불가능합니다. 
그럼 버스에서는 경로우대를 받을 수 없나요?,"네, 버스는 요금을 지불하셔야합니다. "
지하철도 노선에 제한이 있나요?,수도권 노선만 가능합니다. 
"네, 그럼 지하철은 아예 무료로 이용하나요?","네, 맞습니다. "
혹시 시니어패스를 다른 가족이 사용할 수 있나요?,아니요. 안됩니다. 
하게되면 벌금이 있나요?,다른 교통카드와 다른 신호음이 발생합니다. 
"아, 그렇군요. ",
,
,
,
어머니가 시니어패스 분실하셔서요. ,"네, 무엇을 도와드릴까요?"
재발급 가능한가요?,"네, 가능합니다. "
어디서 신청하면 될까요?,서울시 동주민센터에서 신청 가능합니다. 
아버지가 대신가서 하셔도 될까요?,배우자가 신청하실 수 있습니다. 
"네, 어머니 신분증 가져가야하나요?","네, 맞습니다. "
발급은 당일에 되나요?,"네, 즉시발급 됩니다. "
사용도 그날 부터 해도 되나요?,아니요. 사용은 3일 후부터 가능합니다. 
아버지가 못 가실 경우 제가 대신 가도 될까요?,"배우자, 직계자녀 신청 가능합니다. "
"네, 주민센터 주말에는 운영 안하죠?","네, 그렇습니다. "
알려주셔서 감사해요. ,"네, 감사합니다. "
청년수당을 받다가 취업을 하면 어떻게하죠?,상실신고를 하셔야 합니다. 
신고는 어디다가 하는거에요?,시청에서 하실 수 있습니다. 
언제까지 해야해요?,자격상실 기준 상황 발생 시 즉시 제출하셔야 합니다. 
혹시 안하게 되면 벌금이 있나요?,전액 또는 일부금액에 대해 반납 조치 될 수 있습니다. 
알겠습니다.,
,
,
,
,
,
청년특별구직지원금에 대한 질문이 있습니다. ,"네, 무엇을 도와드릴까요?"
"지원금 신청하라고 연락이 왔는데, 제가 기존에 청년수당 받고 있어도 중복으로 수령이 가능한가요?",아니요. 기존에 청년수당을 받으시는 분은 제외됩니다. 
아 알겠습니다. ,
,
,
,
,
,
,
,
안녕하세요. 예전에 전주에서 청년수당을 받은 적이 있는데요. ,
,
,
,
,
,
,
,
,
,
청년수당 신청 가능 대상은 어떻게 되죠?,최종학력 졸업 후 2년이 넘은 경우 신청 가능합니다. 
사용에 제한이 있나요?,일단 개인 재산 축적용도로는 사용이 제한됩니다. 
재산 축적 용도가 뭐가 있을까요?,저축이나 적금등을 말합니다. 
"아, 그럼 그거 말고는 다 되나요?",사업 취지에 맞지 않는 특급호텔등에서는 제한됩니다. 
교육비로는 사용가능한가요?,"네, 그렇습니다. "
식비로 사용해도 안될까요?,가능합니다. 
통신비는요?,"네, 가능합니다. "
월세나 관리비도 내도 되나요?,"네, 그렇습니다. "
제가 취업때문에 관리를 좀 받으려고 하는데요. ,어떤 관리 말씀하시죠?
피부관리실에서도 사용가능할까요?,아니요. 불가능합니다. 
청년수당 받고 있는데요. ,"네, 무엇을 도와드릴까요?"
제가 요새 몸이 좀 안좋은데 병원에서도 청년수당 쓸 수 있나요?,질병치료를 위한 진료비는 가능합니다. 
"아, 감사합니다. ","네, 더 도와드릴 일이 있을까요?"
"제가 알바를 해보려고 하는데, 일하면 청년수당 아예 못 받나요?",주 26시간 초과하는 일인가요?
아뇨 저 하루에 3시간 정도고 5일이라요. ,고용보험에 가입하게 되시나요?
아니요. 보험얘기는 없었어요. ,청년수당 받으실 수 있습니다. 
"아, 정확한 조건이 어떻게 되는거에요?","주 26시간 초과, 3개월 초과 근로 계약과 고용보험에 가입하는 조건입니다. "
만약 그럴 경우에는 어떻게 해야하나요?,자격 상실신고를 하셔야 합니다. 
이제 더이상 청년수당을 못 받나요?,취업성공금 취지로 한 달 수당이 더 지급됩니다. 
"아, 알겠어요. 수고하세요. ","네, 감사합니다. "
청년수당은 카드 사용만 가능한가요?,카드 사용이 원칙입니다. 
인터넷 결제는 가능한가요?,"네, 가능합니다. "
만약에 꼭 현금이 필요하면 인출도 할 수 있나요?,"네, 가능합니다만 자료를 확인합니다. "
"아, 어디에 사용했는지요?","네, 그렇습니다. "
인출은 ATM에서 할 수 있나요?,네.
은행창구에서도 가능한가요?,"네, 그렇습니다. "
제한은 얼마인가요?,"ATM은 30만원, 창구는 100만원입니다. "
현금사용시에 자료는 어떻게 모을 수 있을까요?,현금영수증 발급해서 보관해야 합니다. 
"네, 받아서 언제 제출하나요?",소명자료 제출요청이 있을 시에 제출하시면 됩니다. 
"네, 더 궁금한 사항 있습니까?",
청년수당 모집기간 종료되었나요?,"네, 이번 모집기간은 종료되었습니다. "
2차 모집기간은 언제인가요?,9월 1일까지입니다. 
거주지가 서울시만 가능한거죠?,주민등록 기준 서울시 내 거주지가 있어야 합니다. 
나이는 몇 살까지 되나요?,만 19세 에서 만 34세까지 가능합니다. 
그 외에 다른 조건도 있나요?,"네, 졸업 후 2년이 넘어야 합니다. "
소득요건도 검사하나요?,건강보험료 월 부과액이 지역가입자 25만원 미만이어야 합니다. 
제가 건강보험료를 내지 않으면요?,부모님 세대원으로 등록 되어있으실까요?
"네, 맞아요. ",부양자의 부과액을 기준으로 합니다. 
"아, 그렇군요. ",
,
실업급여 받는 중인데 청년수당 지원 못하나요?,"네, 정부 유사사업으로 불가능합니다. "
실업급여 받는 게 끝나면요?,청년수당 지원 기록이 있으십니까?
아니요. 없어요. ,실업급여 수령이 종료되면 신청 가능합니다. 
신청은 일년에 몇번인가요?,서울시는 2번 입니다. 
상반기와 하반기에 진행되나요?,"네, 그렇습니다. "
인터넷에서 신청도 가능한가요?,네. 
어디로 들어가면 되죠?,서울청년포털로 접속하시면 됩니다. 
회원가입이 필요한가요?,"네, 하셔야 합니다. "
홈페이지에서 청년수당이 안보이는데요?,로그인 후 메뉴에 설자리를 클릭하시면 보입니다. 
"아, 보이네요. ","네, 감사합니다. "
청년수당 신청 서류가 따로 있나요?,일단 신청자격을 확인하신 후 기본정보를 입력하시면 됩니다. 
청년포털 홈페이지에서 할 수 있죠?,"네, 가능합니다. "
그리고 나중에 증빙서류를 등록하나요?,"네, 그렇습니다. "
무슨 서류를 등록하면 되는거죠?,최종학력 졸업증명서를 등록하면 됩니다. 
활동계약서라는 게 있다던데 그건 어디서 준비하나요?,등록시 객관식으로 입력 가능합니다. 
"아, 그럼 제가 따로 뽑고 그런건 아니네요?","네, 그렇습니다. "
청년수당 홈페이지랑 같은거죠?,아닙니다. 
그럼 새로 가입해야해요?,"네, 청년포털에 새로 가입하셔야 합니다. "
제 명의 핸드폰이 없어도 가입 가능한가요?,본인 인증이 어려운 경우에만 가족 등 타인 명의 휴대폰으로 신청 가능합니다. 
"네, 도와주셔서 감사합니다. ","네, 좋은하루 되세요. "
청년수당에 대한 질문이 많습니다. ,"네, 말씀하세요. "
제가 타 도시로 이사가게 되면 어떻게 되나요?,받으실 수 없습니다. 
6개월 내내요?,"네, 그렇습니다. "
통신비를 내도 된다고 하던데 인터넷비도 포함인가요?,"네, 사용 가능합니다. "
마트에서 물건 살 때 품목 제한이 있나요?,어떤 물건 말씀하시나요?
먹는 거 말고 휴지라든가 그런거요. ,"네, 생필품도 사용가능합니다. "
영수증 검사도 하나요?,취지에 맞지 않는 용도로 사용됐다고 보일때 자료를 요구할 수 있습니다. 
그렇군요. ,"네, 더 궁금한 사항 있습니꺼?"
"네, 자기활동기록서 제출은 언제부터죠?",4개월부터 필요합니다. 
인터넷으로 업로드 할 수 있나요?,"네, 그렇습니다. "
대학교 제적 상태여도 청년수당 신청 가능한가요?,"네, 최종학력 제적 후 2년이 넘은 경우 가능합니다. "
제가 계좌가 없는데 통장 만들어야 해요?,"네, 통장 개설이 반드시 필요합니다. "
어느 은행에서 해야해요?,신한은행 앱에서 드림통장 가입하셔야 합니다. 
"네, 그럼 신한은행만 가능한거에요?","네, 그렇습니다. "
영업점에서도 되나요?,모바일 개설하셔야 합니다. 
앱 이름이 뭔가요?,SOL입니다. 
"네, 통장 개설 후에 사용은 어떻게 하나요?",체크카드를 발급하셔야 합니다. 
이것도 은행 앱에서 신청 가능한가요?,"네, 모바일로 신청 가능합니다. "
발급 받는데는 얼마나 걸릴까요?,약 1주일 정도 소요됩니다. 
"아, 네, 수고하세요. ","네, 감사합니다. "
제가 대학교를 안 나왔는데 청년수당 받을 수 있나요?,"네, 최종학력 졸업 후 2년 경과하면 가능합니다. "
청년수당으로 카드 대금 납부하는 거는 안될까요?,"네, 카드대금 납부는 불가능합니다. "
서울시 청년월세지원이랑 같이 받을 수 있나요?,"아니요, 중복수혜 불가합니다. "
둘 다 한 번 밖에는 못 받나요?,"네, 두 사업 다 1번 받으실 수 있습니다. "
그럼 월세지원 끝나면 청년수당 신청 할 수 있죠?,"네, 그렇습니다. "
청년수당 받을 때 아무 일도 하면 안되는거죠?,3개월 이하 주 26시간 이하 일은 하실 수 있습니다. 
"아, 그럼 인터넷으로 뭐 파는거는요?",인터넷 쇼핑몰을 말하시나요?
네.,오프라인 매장 또는 온라인 매장 개점시 자격이 상실됩니다. 
"아, 돈을 많이 못 벌어도요?","네, 그렇습니다. "
"아, 도와주셔서 감사해요. ","네, 좋은하루 되세요. "
희망두배 청년통장에 대한 질문이 있습니다. ,"네, 무엇을 도와드릴까요?"
소득기준이 어떻게 되나요?,본인소득 기준금액은 월 237만원 이하입니다. 
이게 세전인가요?,"네, 그렇습니다. "
부모님 소득과도 상관이 있나요?,부양의무자의 소득인정액이 기준중위소득 80% 이하여야 합니다. 
아버지 어머니 소득을 합쳐서 보나요?,"네, 맞습니다. "
저포함 가족 전체 소득으로 판단되나요?,부양의무자 소득인정액은 본인 소득은 제외됩니다. 
희망두배 청년통장도 연 2회 모집하나요?,아니요. 연 1회입니다. 
이거는 자영업자도 할 수 있는거죠?,"네, 근로소득 증빙이 가능한 경우 신청 대상입니다. "
"네, 알겠습니다. ",더 궁금한 사항 있습니까?
아니요. 아직은 없어요. ,자세한 사항은 복지재단 000으로 문의 가능합니다. 
언니랑 제가 둘 다 희망두배 청년통장 신청 가능한가요?,"동시에 자격요건이 되더라도, 한 명만 청년통장에 가입할 수 있습니다."
가구당 1명만 가능한거에요?,"네, 그렇습니다. "
이번 해 언제 모집 예정인가요?,6월 경 입니다. 
어디서 확인 할 수 있죠?,서울 시 홈페이지에서 확인 가능합니다. 
몇 살 까지 신청 가능한가요?,만 34세 이하 입니다. 
제가 수입이 있어야 신청 가능한거죠?,"네, 맞습니다. "
제가 저축하는 금액 제한이 있나요?,10만원 혹은 15만원 선택하시면 됩니다. 
그 이상은 안될까요?,"네, 불가능합니다. "
적립기간은 얼마나 하는거죠?,"2년, 3년 중에 선택 가능합니다. "
매월 납부하는거죠?,"네, 맞습니다. "
가족관계증명서는 어디서 받을 수 있나요?,가까운 동주민센터에 방문하시거나 온라인발급도 가능합니다. 
인터넷에선 어디서 발급할 수 있어요?,전자가족관계등록시스템에서 받으실 수 있습니다. 
"네, 혹시 필요한 게 있나요?",공인인증서가 필요합니다. 
주민등록초본도 거기서 발급 가능해요?,정부24에서 인터넷 출력 가능합니다. 
이거는 24시간 가능한가요?,"네, 맞습니다. "
무료인가요?,아니요. 수수료가 있습니다. 
얼마에요?,주민등록초본은 500원입니다. 
가족관계증명서는요?,1000원입니다. 
혹시 외국에서도 발급 가능할까요?,공인인증서가 있으면 발급 가능합니다. 
감사합니다. ,"네, 감사합니다. "
희망두배 통장 신청했는데 발표는 언제나나요?,10월 말로 예정되어 있습니다. 
지금은 확인 불가능한가요?,"네, 그렇습니다. "
청년내일채움공제와 중복으로 신청하면 안될까요?,신청제외 대상자입니다. 
근데 혹시라도 하나만 붙을 수 도 있잖아요?,중복 신청은 불가능합니다. 
붙으면 개별 통보가 되나요?,"아니요, 홈페이지에서 확인하셔야 합니다. "
청년포털사이트 맞아요?,"네, 맞습니다. "
부모님한테 받은 돈도 입금해도 되나요?,"아니요, 안됩니다. "
왜요?,근로소득만 입금하셔야 합니다. 
직장에서 받은 돈만 된다는 거에요?,"네, 그렇습니다. "
합격률이 얼마나 되나요?,따로 통계는 없습니다. 
따릉이라는게 있다는데 이게 자전거에요?,자전거 대여 서비스 입니다. 
"아, 그럼 빌려서 타고 반납하고 그런거에요?","네, 맞습니다. "
그럼 사용은 어떻게 해요?,이용권 구매 후 이용 가능합니다. 
어떻게 이용권을 구매하는데요?,인터넷 앱으로 구매하실 수 있습니다. 
앱 이름이 뭐에요?,서울자전거 앱입니다. 
자전거는 어디서 빌릴 수 있어요?,서울자전거 대여소에 방문하시면 됩니다. 
이용 시간에 제한이 있나요?,기본이용시간을 초과할 경우 초과된 시간만큼의 비용이 청구됩니다. 
기본 이용시간이 몇시간이에요?,1시간권과 2시간권 중에 선택가능합니다. 
그럼 반납은 같은 장소에서 해야해요?,근처의 따릉이 대여소에서 반납하시면 됩니다. 
근처 대여소는 어떻게 찾아요?,서울자전거 앱에서 확인가능합니다. 
따릉이 관련 질문이 있습니다. ,"네, 말씀하세요. "
1시간권 구매해서 출근할때 20분쓰고 퇴근할때 또 쓸 수 있나요?,대여시간으로부터 24시간동안 이용이 가능합니다. 
1시간을 다 안쓰면 계속 탈 수 있는거에요?,"네, 기본이용시간 내에 횟수 관계 없이 사용할 수 있습니다. "
그럼 1시간이 넘어가면요?,추가비용이 있습니다. 
1시간 안에 반납하면 그 날 또 빌릴 수 있나요?,"네, 반납 후 다시 빌릴 수 있습니다. "
"아, 그렇군요. ",
,
,
,
,
따릉이 가격이 궁금합니다. ,일일권요금 말씀하시나요?
네.,1시간권은 1000원입니다. 
1시간권 말고 또 있나요?,"네, 2시간권은 2000원입니다. "
시간이 넘어가면 추가금액이 있어요?,"네, 5분당 200원씩 추가됩니다. "
정기권은 얼마죠?,1시간 정기권 요금으로 안내해드릴까요?
"아, 그것도 따로 있어요?","네, 정기권도 1시간권과 2시간권으로 나뉩니다. "
"아, 그렇군요. ",
,
,
,
지금 따릉이를 타다가 다쳤는데요.  ,사고원인을 여쭤봐도 될까요?
따릉이가 고장이 나있었어요. ,
,
,
,
,
,
,
,
,
따릉이 대여가 안되는데 어떻게하죠?,전에 대여하신 기록이 있을까요?
"네, 예전에 빌렸어요. ",혹시 추가요금 다 납부 하셨을까요?
추가요금이요?,"네, 기본사용시간을 넘기면 추가요금이 부과됩니다. "
추가요금 안내면 대여가 막히나요?,재대여가 불가능합니다. 
근데 제가 결제수단을 등록해 놨던 것 같은데요?,앱에서 확인하실 수 있습니다. 
어디서 확인할 수 있죠?,메뉴의 결제관리에 하단에 추가과금결제 클릭하시면 됩니다. 
"아, 감사합니다. ",
,
,
,
따릉이 스마트폰으로만 이용가능한거죠?,아닙니다. 
제가 2G 폰인데 어떻게 빌릴 수 있어요?,컴퓨터로 먼저 회원등록을 한 후에 이용하시면 됩니다. 
아 사이트에서 하면되는거에요?,"네, 사이트에서 결제 카드를 등록한 후에 방문하시면 됩니다. "
방문해서는 어떻게 빌려요?,대여할 자전거의 단말기에 등록한 카드를 대면 됩니다. 
"아, 그럼 잠금장치가 풀려요?","네, 대여비밀번호를 입력하시면 풀립니다. "
대여비밀번호는 뭐에요?,회원가입시 생성하면 됩니다. 
"아, 알겠습니다. ",
,
,
,
따릉이 누구나 탈 수 있나요?,만 15세 이상 누구나 이용 가능합니다. 
그럼 미성년자도 탈 수 있는거네요?,"네, 가입시 부모님 동의가 필요합니다. "
"아, 그렇군요. ",
,
,
,
,
,
,
,
한강에 수상택시가 있다는데 사실인가요?,"네, 그렇습니다. "
지금 운영하나요?,운영중인데 사전예약제로 운영됩니다. 
어디를 갈 수 있는 거에요?,모든 한강 시민공원으로 갈 수 있습니다. 
출퇴근할 때 이용할 수 있을까요?,"네, 주요 승강장에 가실 수 있습니다. "
1대에 몇 명 정도 타요?,10명정도 탑승합니다. 
이용요금은 얼마에요?,출퇴근셔틀로 이용하시나요?
"네, 그러려구요. ",5천원입니다. 
예약은 어떻게 할 수 있죠?,전화나 인터넷으로 가능합니다. 
번호 알려주실 수 있으세요?,"네, OOO입니다. "
당일 예약도 가능한가요?,"네, 가능합니다. "
코로나때문에 지하철을 타기가 좀 무서워서요. ,"네, 무엇을 도와드릴까요?"
수상택시로 출퇴근 할 수 있을까요?,"네, 가능합니다. "
이용은 어떻게 하나요?,사전 예약으로 운행중입니다. 
제가 잠실에서 여의도로 출근하는데 탈 수 있어요?,"네, 잠실에서 여의도까지 가고 있습니다. "
시간은 얼마나 걸리죠?,약 20분 소요됩니다. 
출근 탑승 시간은 몇 시 인가요?,현재 7시 반입니다. 
퇴근은요?,여의도 기준 여섯시 반입니다. 
"네, 감사합니다. ",더 궁금한 사항 있습니까?
요금은 얼마죠?,1인당 5천원입니다. 
"네, 인터넷으로 예약 가능한가요?","네, 가능합니다. "
안녕하세요. 한강 수상택시로 관광도 할 수 있다고 해서요. ,"네, 가능합니다. "
코스가 정해져있나요?,개별관광서비스와 직행연결 서비스가 있습니다. 
